travelCode,userCode,name,place,days,price,total,date,price_normalized
0,0,Hotel A,Florianopolis (Sc),4,313.02,1252.08,2019-09-26,0.9999999999999999
2,0,Hotel K,Salvador (Bh),2,263.41,526.82,2019-10-10,0.8036258559949333
7,0,Hotel K,Salvador (Bh),3,263.41,790.23,2019-11-14,0.8036258559949333
11,0,Hotel K,Salvador (Bh),4,263.41,1053.64,2019-12-12,0.8036258559949333
13,0,Hotel A,Florianopolis (Sc),1,313.02,313.02,2019-12-26,0.9999999999999999
15,0,Hotel Bd,Natal (Rn),2,242.88,485.76,2020-01-09,0.7223607647547797
22,0,Hotel Z,Aracaju (Se),2,208.04,416.08,2020-02-27,0.5844515694889759
29,0,Hotel Au,Recife (Pe),4,312.83,1251.32,2020-04-16,0.9992479119661163
32,0,Hotel Af,Sao Paulo (Sp),2,139.1,278.2,2020-05-07,0.3115623639314412
33,0,Hotel K,Salvador (Bh),4,263.41,1053.64,2020-05-14,0.8036258559949333
34,0,Hotel Af,Sao Paulo (Sp),3,139.1,417.3,2020-05-21,0.3115623639314412
38,0,Hotel Bd,Natal (Rn),2,242.88,485.76,2020-06-18,0.7223607647547797
39,0,Hotel K,Salvador (Bh),1,263.41,263.41,2020-06-25,0.8036258559949333
42,0,Hotel Bw,Campo Grande (Ms),3,60.39,181.17,2020-07-16,0.0
43,0,Hotel K,Salvador (Bh),4,263.41,1053.64,2020-07-23,0.8036258559949333
45,0,Hotel Bd,Natal (Rn),1,242.88,242.88,2020-08-06,0.7223607647547797
51,0,Hotel K,Salvador (Bh),1,263.41,263.41,2020-09-17,0.8036258559949333
53,0,Hotel Bw,Campo Grande (Ms),2,60.39,120.78,2020-10-01,0.0
54,0,Hotel Af,Sao Paulo (Sp),3,139.1,417.3,2020-10-08,0.3115623639314412
55,0,Hotel A,Florianopolis (Sc),2,313.02,626.04,2020-10-15,0.9999999999999999
57,0,Hotel Z,Aracaju (Se),4,208.04,832.16,2020-10-29,0.5844515694889759
60,0,Hotel Z,Aracaju (Se),4,208.04,832.16,2020-11-19,0.5844515694889759
65,0,Hotel Cb,Rio De Janeiro (Rj),1,165.99,165.99,2020-12-24,0.4180026125163283
73,0,Hotel Bp,Brasilia (Df),4,247.62,990.48,2021-02-18,0.7411233820211377
81,0,Hotel Bd,Natal (Rn),4,242.88,971.52,2021-04-15,0.7223607647547797
86,0,Hotel Af,Sao Paulo (Sp),3,139.1,417.3,2021-05-20,0.3115623639314412
87,0,Hotel Au,Recife (Pe),1,312.83,312.83,2021-05-27,0.9992479119661163
90,1,Hotel Af,Sao Paulo (Sp),1,139.1,139.1,2019-10-03,0.3115623639314412
92,1,Hotel Bp,Brasilia (Df),1,247.62,247.62,2019-10-17,0.7411233820211377
100,2,Hotel Cb,Rio De Janeiro (Rj),4,165.99,663.96,2019-10-31,0.4180026125163283
101,2,Hotel Bw,Campo Grande (Ms),3,60.39,181.17,2019-11-07,0.0
105,2,Hotel Z,Aracaju (Se),4,208.04,832.16,2019-12-05,0.5844515694889759
108,2,Hotel Au,Recife (Pe),3,312.83,938.49,2019-12-26,0.9992479119661163
109,2,Hotel Bw,Campo Grande (Ms),2,60.39,120.78,2020-01-02,0.0
110,2,Hotel K,Salvador (Bh),1,263.41,263.41,2020-01-09,0.8036258559949333
112,2,Hotel Af,Sao Paulo (Sp),4,139.1,556.4,2020-01-23,0.3115623639314412
116,2,Hotel Bw,Campo Grande (Ms),4,60.39,241.56,2020-02-20,0.0
117,2,Hotel Au,Recife (Pe),2,312.83,625.66,2020-02-27,0.9992479119661163
119,2,Hotel K,Salvador (Bh),2,263.41,526.82,2020-03-12,0.8036258559949333
122,2,Hotel A,Florianopolis (Sc),4,313.02,1252.08,2020-04-02,0.9999999999999999
124,2,Hotel Z,Aracaju (Se),3,208.04,624.12,2020-04-16,0.5844515694889759
125,2,Hotel Bw,Campo Grande (Ms),2,60.39,120.78,2020-04-23,0.0
135,2,Hotel Cb,Rio De Janeiro (Rj),1,165.99,165.99,2020-07-02,0.4180026125163283
137,2,Hotel A,Florianopolis (Sc),3,313.02,939.06,2020-07-16,0.9999999999999999
150,2,Hotel Z,Aracaju (Se),2,208.04,416.08,2020-10-15,0.5844515694889759
153,2,Hotel Bw,Campo Grande (Ms),4,60.39,241.56,2020-11-05,0.0
156,2,Hotel Bp,Brasilia (Df),2,247.62,495.24,2020-11-26,0.7411233820211377
160,2,Hotel Bw,Campo Grande (Ms),2,60.39,120.78,2020-12-24,0.0
165,2,Hotel Bd,Natal (Rn),3,242.88,728.64,2021-01-28,0.7223607647547797
177,2,Hotel Z,Aracaju (Se),2,208.04,416.08,2021-04-22,0.5844515694889759
180,2,Hotel Bw,Campo Grande (Ms),3,60.39,181.17,2021-05-13,0.0
187,2,Hotel Z,Aracaju (Se),3,208.04,624.12,2021-07-01,0.5844515694889759
188,2,Hotel Af,Sao Paulo (Sp),2,139.1,278.2,2021-07-08,0.3115623639314412
189,2,Hotel K,Salvador (Bh),4,263.41,1053.64,2021-07-15,0.8036258559949333
192,2,Hotel A,Florianopolis (Sc),4,313.02,1252.08,2021-08-05,0.9999999999999999
197,2,Hotel A,Florianopolis (Sc),3,313.02,939.06,2021-09-09,0.9999999999999999
201,2,Hotel A,Florianopolis (Sc),2,313.02,626.04,2021-10-07,0.9999999999999999
205,2,Hotel Cb,Rio De Janeiro (Rj),2,165.99,331.98,2021-11-04,0.4180026125163283
211,2,Hotel Z,Aracaju (Se),3,208.04,624.12,2021-12-16,0.5844515694889759
213,2,Hotel K,Salvador (Bh),3,263.41,790.23,2021-12-30,0.8036258559949333
214,2,Hotel Au,Recife (Pe),1,312.83,312.83,2022-01-06,0.9992479119661163
219,2,Hotel A,Florianopolis (Sc),2,313.02,626.04,2022-02-10,0.9999999999999999
221,2,Hotel K,Salvador (Bh),1,263.41,263.41,2022-02-24,0.8036258559949333
224,2,Hotel Bp,Brasilia (Df),3,247.62,742.86,2022-03-17,0.7411233820211377
225,2,Hotel Bd,Natal (Rn),4,242.88,971.52,2022-03-24,0.7223607647547797
233,3,Hotel A,Florianopolis (Sc),2,313.02,626.04,2019-11-14,0.9999999999999999
235,3,Hotel A,Florianopolis (Sc),3,313.02,939.06,2019-11-28,0.9999999999999999
238,3,Hotel A,Florianopolis (Sc),2,313.02,626.04,2019-12-19,0.9999999999999999
239,3,Hotel A,Florianopolis (Sc),2,313.02,626.04,2019-12-26,0.9999999999999999
240,3,Hotel Bp,Brasilia (Df),4,247.62,990.48,2020-01-02,0.7411233820211377
241,3,Hotel A,Florianopolis (Sc),1,313.02,313.02,2020-01-09,0.9999999999999999
243,3,Hotel Cb,Rio De Janeiro (Rj),1,165.99,165.99,2020-01-23,0.4180026125163283
244,3,Hotel Au,Recife (Pe),4,312.83,1251.32,2020-01-30,0.9992479119661163
246,3,Hotel Au,Recife (Pe),2,312.83,625.66,2020-02-13,0.9992479119661163
248,3,Hotel Bw,Campo Grande (Ms),2,60.39,120.78,2020-02-27,0.0
255,3,Hotel A,Florianopolis (Sc),1,313.02,313.02,2020-04-16,0.9999999999999999
259,3,Hotel Bd,Natal (Rn),2,242.88,485.76,2020-05-14,0.7223607647547797
263,3,Hotel Bw,Campo Grande (Ms),3,60.39,181.17,2020-06-11,0.0
269,3,Hotel Cb,Rio De Janeiro (Rj),2,165.99,331.98,2020-07-23,0.4180026125163283
275,3,Hotel Bd,Natal (Rn),2,242.88,485.76,2020-09-03,0.7223607647547797
279,3,Hotel Bd,Natal (Rn),1,242.88,242.88,2020-10-01,0.7223607647547797
283,3,Hotel Af,Sao Paulo (Sp),1,139.1,139.1,2020-10-29,0.3115623639314412
287,3,Hotel Au,Recife (Pe),1,312.83,312.83,2020-11-26,0.9992479119661163
290,3,Hotel Bw,Campo Grande (Ms),1,60.39,60.39,2020-12-17,0.0
291,3,Hotel K,Salvador (Bh),1,263.41,263.41,2020-12-24,0.8036258559949333
295,3,Hotel Bd,Natal (Rn),4,242.88,971.52,2021-01-21,0.7223607647547797
296,3,Hotel Au,Recife (Pe),3,312.83,938.49,2021-01-28,0.9992479119661163
299,3,Hotel Af,Sao Paulo (Sp),3,139.1,417.3,2021-02-18,0.3115623639314412
300,3,Hotel K,Salvador (Bh),3,263.41,790.23,2021-02-25,0.8036258559949333
303,3,Hotel Bw,Campo Grande (Ms),1,60.39,60.39,2021-03-18,0.0
305,3,Hotel Bd,Natal (Rn),4,242.88,971.52,2021-04-01,0.7223607647547797
306,3,Hotel A,Florianopolis (Sc),3,313.02,939.06,2021-04-08,0.9999999999999999
307,3,Hotel Bd,Natal (Rn),2,242.88,485.76,2021-04-15,0.7223607647547797
311,3,Hotel Af,Sao Paulo (Sp),2,139.1,278.2,2021-05-13,0.3115623639314412
